0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,target,answer,correct_answer,score,target_as
75.0,97.0,116.0,101.0,32.0,72.0,117.0,100.0,115.0,111.0,110.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,179.0,Kate Hudson,Kate Hudson,1.0,0.0
69.0,108.0,108.0,105.0,111.0,116.0,116.0,32.0,71.0,111.0,117.0,108.0,100.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,92.0,Elliott Gould,Elliott Gould,1.0,0.0
74.0,97.0,109.0,105.0,101.0,32.0,66.0,101.0,108.0,108.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,133.0,Jamie Bell,Jamie Bell,1.0,0.0
83.0,101.0,97.0,110.0,32.0,67.0,111.0,110.0,110.0,101.0,114.0,121.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,283.0,Sean Connery,Sean Connery,1.0,0.0
77.0,105.0,99.0,104.0,97.0,101.0,108.0,32.0,68.0,111.0,117.0,103.0,108.0,97.0,115.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,221.0,Michael Douglas,Michael Douglas,1.0,0.0
77.0,105.0,114.0,97.0,32.0,83.0,101.0,114.0,118.0,105.0,110.0,111.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,94.2,230.0,Mira Servino,Mira Sorvino,0.9420000000000001,0.0
77.0,97.0,103.0,103.0,105.0,101.0,32.0,71.0,121.0,108.0,108.0,97.0,110.0,104.0,97.0,97.0,108.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,97.9,206.0,Maggie Gyllanhaal,Maggie Gyllenhaal,0.9790000000000001,0.0
80.0,104.0,105.0,108.0,105.0,112.0,32.0,83.0,101.0,121.0,109.0,111.0,117.0,114.0,32.0,72.0,111.0,102.0,102.0,109.0,97.0,110.0,110.0,32.0,99.9,252.0,Philip Seymour Hoffmann,Philip Seymour Hoffman,0.9990000000000001,0.0
66.0,117.0,114.0,116.0,32.0,82.0,101.0,121.0,110.0,111.0,108.0,100.0,115.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,41.0,Burt Reynolds,Burt Reynolds,1.0,0.0
75.0,105.0,109.0,32.0,98.0,97.0,115.0,105.0,110.0,103.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,192.0,Kim basinger,Kim Basinger,1.0,0.0
